Player ID,Team,Time on Court (s),Distance (m),Avg Speed (m/s),Max Speed (m/s),Dominant Zone,Zone: Left Paint (%),Zone: Left Wing (%),Zone: Left Corner (%),Zone: Mid Court (%),Zone: Right Wing (%),Zone: Right Corner (%),Zone: Right Paint (%)
#51,Team A,3.6,15.6,4.38,36.1,Left Corner,15.0,0.0,85.0,0.0,0.0,0.0,0.0
#32,Team A,6.2,14.8,2.39,13.72,Mid Court,23.2,0.0,0.0,76.8,0.0,0.0,0.0
#17,Team A,9.0,14.5,1.61,13.2,Left Corner,0.0,0.0,57.6,31.7,0.0,10.7,0.0
#74,Team B,1.0,14.0,14.51,62.73,Mid Court,0.0,0.0,0.0,100.0,0.0,0.0,0.0
#2,Team B,3.5,10.4,2.97,20.32,Right Corner,0.0,0.0,14.3,20.0,0.0,65.7,0.0
#21,Team A,4.1,8.6,2.1,30.44,Right Corner,0.0,0.0,0.0,0.0,0.0,100.0,0.0
#33,Team A,4.2,7.8,1.88,11.34,Right Corner,0.0,0.0,0.0,26.4,0.0,73.6,0.0
#59,Team A,2.9,7.1,2.42,16.25,Right Paint,0.0,0.0,0.0,0.0,0.0,2.3,97.7
#14,Team A,1.8,6.1,3.42,24.5,Right Corner,0.0,0.0,28.3,0.0,0.0,71.7,0.0
#56,Team A,2.7,5.5,2.01,7.24,Mid Court,0.0,0.0,0.0,100.0,0.0,0.0,0.0
#44,Team A,0.9,5.0,5.59,15.18,Mid Court,0.0,0.0,0.0,100.0,0.0,0.0,0.0
#61,Team A,1.5,4.6,3.14,15.5,Right Corner,0.0,0.0,20.5,0.0,0.0,79.5,0.0
#67,Team B,0.5,4.6,8.62,30.41,Right Wing,0.0,0.0,0.0,0.0,100.0,0.0,0.0
#95,Team A,0.5,4.5,9.6,58.7,Left Paint,64.3,0.0,0.0,35.7,0.0,0.0,0.0
#92,Team A,3.5,3.6,1.01,7.42,Left Corner,0.0,0.0,100.0,0.0,0.0,0.0,0.0
#102,Team B,0.6,2.9,4.86,35.8,Mid Court,27.8,0.0,27.8,44.4,0.0,0.0,0.0
#34,Team A,0.3,2.8,8.41,19.68,Right Corner,0.0,0.0,40.0,0.0,0.0,60.0,0.0
#41,Team A,0.6,2.8,5.0,11.97,Right Corner,0.0,0.0,0.0,35.3,0.0,64.7,0.0
#8,Team A,0.8,2.7,3.19,19.94,Left Corner,0.0,0.0,56.0,0.0,0.0,44.0,0.0
#65,Team A,1.3,2.6,1.97,5.64,Right Corner,0.0,0.0,0.0,0.0,0.0,100.0,0.0
#40,Team A,1.6,2.4,1.52,17.9,Right Corner,0.0,0.0,0.0,0.0,0.0,100.0,0.0
#28,Team A,0.6,2.4,3.97,19.69,Right Corner,0.0,0.0,0.0,0.0,0.0,66.7,33.3
#42,Team A,0.6,2.4,4.21,14.95,Left Corner,0.0,0.0,100.0,0.0,0.0,0.0,0.0
#25,Team A,1.4,2.3,1.67,4.18,Mid Court,0.0,0.0,0.0,100.0,0.0,0.0,0.0
#68,Team A,0.8,2.3,2.91,7.76,Right Corner,0.0,0.0,0.0,0.0,0.0,87.5,12.5
#39,Team A,1.0,2.1,2.2,19.7,Right Corner,0.0,0.0,0.0,0.0,0.0,100.0,0.0
#62,Team A,0.9,2.0,2.36,9.12,Right Paint,0.0,0.0,0.0,0.0,0.0,0.0,100.0
#88,Team B,0.2,1.8,10.74,26.81,Mid Court,20.0,0.0,0.0,80.0,0.0,0.0,0.0
#66,Team A,0.9,1.6,1.77,5.54,Right Corner,0.0,0.0,0.0,0.0,0.0,100.0,0.0
#69,Team A,0.5,1.6,3.28,13.06,Left Corner,0.0,0.0,100.0,0.0,0.0,0.0,0.0
#93,Team A,0.3,1.6,5.49,14.91,Mid Court,0.0,0.0,0.0,100.0,0.0,0.0,0.0
#47,Team A,0.4,1.6,4.44,7.16,Left Corner,0.0,0.0,54.5,0.0,0.0,45.5,0.0
#98,Team A,1.8,1.5,0.8,1.82,Left Corner,0.0,0.0,100.0,0.0,0.0,0.0,0.0
#9,Team A,0.2,1.4,6.91,14.98,Right Paint,0.0,0.0,0.0,0.0,0.0,0.0,100.0
#75,Team A,0.2,1.2,7.48,10.62,Left Corner,0.0,0.0,100.0,0.0,0.0,0.0,0.0
#3,Team B,1.2,1.1,0.9,2.39,Right Corner,0.0,0.0,0.0,0.0,0.0,100.0,0.0
